year,month,longitude,latitude,ingenio,hacienda,area,variedad,edad,corte,lote_comercial,lote_semillero,RSD,LSD,incidencia_RSD,incidencia_LSD,prevalencia_RSD,prevalencia_LSD,NDVI,RH2M,PRECTOTCORR,WS2M,PAR,T2M,T2M_MAX,T2M_MIN,densidad_aparente_0-30cm_mean,intercambio_catiónico_0-30cm_mean,fraccion_gruesa_0-30cm_mean,arcillas_0-30cm_mean,nitrogeno_0-30cm_mean,ph_0-30cm_mean,arena_0-30cm_mean,limo_0-30cm_mean,carbono_organico_0-30cm_mean,cluster
2007,5,-76.38,3.24,13,MA,4.87,CC 85-92,7.03,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.78,15.5,1.24,0.85,127.93,14.6,19.01,10.63,1.35,19.37,7.23,35.1,21.3,5.83,23.07,41.8,32.77,0
2007,5,-76.37,3.56,13,MA,4.87,CC 85-92,7.03,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.84,16.72,1.52,0.59,127.93,15.76,19.92,12.42,1.41,22.03,4.33,39.63,22.0,5.87,20.7,39.67,33.37,0
2007,5,-76.48,3.34,13,MA,4.87,CC 85-92,7.03,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.83,16.72,1.52,0.59,127.93,15.76,19.92,12.42,1.37,20.6,4.1,41.8,25.7,5.6,22.47,35.7,38.5,0
2007,5,-76.31,3.4,13,MA,4.87,CC 85-92,7.03,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,16.72,1.52,0.59,127.93,15.76,19.92,12.42,1.41,22.9,2.5,35.63,21.96,5.93,26.6,37.77,26.3,0
2007,5,-76.3,3.26,13,MA,4.87,CC 85-92,7.03,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,16.72,1.52,0.59,127.93,15.76,19.92,12.42,1.34,18.53,6.03,37.2,20.22,5.73,23.7,39.17,31.67,0
2007,5,-76.28,3.42,13,MA,4.87,CC 85-92,7.03,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.88,16.72,1.52,0.59,127.93,15.76,19.92,12.42,1.35,23.3,4.5,39.27,20.37,5.7,27.5,33.23,29.53,0
2007,5,-76.26,3.44,13,MA,4.87,CC 85-92,7.03,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,16.72,1.52,0.59,127.93,15.76,19.92,12.42,1.3,23.53,5.37,34.23,22.12,5.8,31.87,34.0,34.53,0
2007,5,-76.21,4.03,13,MA,4.87,CC 85-92,7.03,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.63,18.68,2.04,0.56,134.3,17.97,22.26,14.98,1.28,19.3,5.1,35.77,26.24,5.6,34.7,29.53,33.17,0
2012,3,-75.93,4.66,11,VALPARAISO,1.0,CC 01-678,7.2,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.78,15.58,1.6,0.88,141.21,15.27,19.76,12.01,1.28,20.97,4.8,37.43,24.22,5.7,29.33,33.2,34.53,0
2012,3,-76.14,4.24,11,PERALONSO,3.93,CC 85-92,6.8,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.79,18.48,0.94,0.97,135.71,18.21,23.38,14.24,1.29,20.83,8.3,39.43,22.97,5.5,26.8,33.73,39.43,0
2012,3,-76.14,4.24,11,PERALONSO,4.87,CC 92-2198,6.3,1,0,1,0.0,5.0,0.0,25.0,0.0,1.03,0.79,18.48,0.94,0.97,135.71,18.21,23.38,14.24,1.29,20.83,8.3,39.43,22.97,5.5,26.8,33.73,39.43,0
2012,3,-76.08,4.56,11,LALUISA,2.2,CC 85-92,6.6,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.16,25.1,6.83,39.3,26.94,5.6,26.4,34.3,47.37,0
2012,3,-76.3,3.71,11,LALUISA,2.86,CC 97-7170,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,16.11,0.33,2.27,136.06,15.71,20.74,12.17,1.38,24.13,7.5,36.8,19.97,5.7,26.67,36.57,32.83,0
2012,3,-76.35,3.14,11,LALUISA,2.86,CC 97-7170,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.33,17.7,3.47,40.1,20.94,5.7,19.83,40.03,30.63,0
2012,3,-76.12,4.43,11,LALUISA,4.87,CC 01-1940,6.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.29,23.13,4.73,36.73,29.25,5.7,26.5,36.77,36.37,0
2012,3,-76.12,4.43,11,LALUISA,2.86,CC 97-7170,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.29,23.13,4.73,36.73,29.25,5.7,26.5,36.77,36.37,0
2012,3,-76.35,3.14,11,LALUISA,4.87,CC 01-1940,6.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.33,17.7,3.47,40.1,20.94,5.7,19.83,40.03,30.63,0
2012,3,-76.16,4.32,11,PERALONSO,4.87,CC 92-2198,6.3,1,0,1,0.0,5.0,0.0,25.0,0.0,1.03,0.79,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.32,20.1,4.83,36.73,24.68,5.47,24.0,39.3,39.67,0
2012,3,-76.12,4.43,11,LALUISA,1.1,RBCC 85-5113,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.29,23.13,4.73,36.73,29.25,5.7,26.5,36.77,36.37,0
2012,3,-75.86,4.35,11,RIOPAILA,0.9,CC 93-4418,7.2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.45,15.58,1.6,0.88,141.21,15.27,19.76,12.01,1.14,23.4,6.5,38.5,25.0,5.33,24.8,36.73,39.8,1
2012,3,-76.16,4.32,11,PERALONSO,3.93,CC 85-92,6.8,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.79,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.32,20.1,4.83,36.73,24.68,5.47,24.0,39.3,39.67,0
2012,3,-76.12,4.43,11,LALUISA,1.5,CC 01-678,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.29,23.13,4.73,36.73,29.25,5.7,26.5,36.77,36.37,0
2012,3,-76.08,4.45,11,LALUISA,2.2,CC 85-92,6.6,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.69,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.31,22.5,4.73,36.93,27.25,5.7,29.6,33.43,36.8,0
2012,3,-76.08,4.56,11,LALUISA,3.0,CC 01-1228,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.16,25.1,6.83,39.3,26.94,5.6,26.4,34.3,47.37,0
2012,3,-76.35,3.14,11,LALUISA,1.1,RBCC 85-5113,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.33,17.7,3.47,40.1,20.94,5.7,19.83,40.03,30.63,0
2012,3,-76.35,3.14,11,LALUISA,3.0,CC 01-1228,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.33,17.7,3.47,40.1,20.94,5.7,19.83,40.03,30.63,0
2012,3,-76.08,4.45,11,LALUISA,3.0,CC 01-1228,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.69,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.31,22.5,4.73,36.93,27.25,5.7,29.6,33.43,36.8,0
2012,3,-75.87,5.06,11,LALUISA,1.1,RBCC 85-5113,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.69,16.83,1.8,0.2,138.95,16.58,21.38,13.37,1.17,16.67,6.73,39.33,21.91,5.4,28.67,32.0,33.53,0
2012,3,-75.87,5.06,11,LALUISA,1.5,CC 01-678,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.69,16.83,1.8,0.2,138.95,16.58,21.38,13.37,1.17,16.67,6.73,39.33,21.91,5.4,28.67,32.0,33.53,0
2012,3,-75.87,5.06,11,LALUISA,3.0,CC 01-1228,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.69,16.83,1.8,0.2,138.95,16.58,21.38,13.37,1.17,16.67,6.73,39.33,21.91,5.4,28.67,32.0,33.53,0
2012,3,-76.33,3.32,11,LALUISA,1.5,CC 01-678,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.82,16.11,0.33,2.27,136.06,15.71,20.74,12.17,1.38,25.33,5.77,39.03,20.74,6.0,25.67,35.33,35.83,0
2012,3,-76.3,3.71,11,LALUISA,1.1,RBCC 85-5113,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,16.11,0.33,2.27,136.06,15.71,20.74,12.17,1.38,24.13,7.5,36.8,19.97,5.7,26.67,36.57,32.83,0
2012,3,-76.34,3.1,11,RIOPAILA,0.9,CC 93-4418,7.2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.71,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.23,21.57,10.2,36.67,24.01,5.9,25.23,38.13,34.03,0
2012,3,-76.16,4.28,11,LALUISA,1.5,CC 01-678,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.68,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.35,17.77,4.73,38.3,21.77,5.57,24.33,37.4,33.17,0
2012,3,-76.16,4.28,11,LALUISA,3.0,CC 01-1228,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.68,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.35,17.77,4.73,38.3,21.77,5.57,24.33,37.4,33.17,0
2012,3,-76.16,4.28,11,LALUISA,2.2,CC 85-92,6.6,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.68,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.35,17.77,4.73,38.3,21.77,5.57,24.33,37.4,33.17,0
2012,3,-76.34,3.1,11,RIOPAILA,4.87,CC 01-1228,7.2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.71,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.23,21.57,10.2,36.67,24.01,5.9,25.23,38.13,34.03,0
2012,3,-76.34,3.1,11,RIOPAILA,4.87,CC 93-4418,6.2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.71,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.23,21.57,10.2,36.67,24.01,5.9,25.23,38.13,34.03,0
