cluster,longitude,latitude,edad,PRECTOTCORR,PAR,arcillas_0-30cm_mean,arena_0-30cm_mean,limo_0-30cm_mean
0,-76.38,3.24,7.03,1.24,127.93,35.1,23.07,41.8
0,-76.37,3.56,7.03,1.52,127.93,39.63,20.7,39.67
0,-76.48,3.34,7.03,1.52,127.93,41.8,22.47,35.7
0,-76.31,3.4,7.03,1.52,127.93,35.63,26.6,37.77
0,-76.3,3.26,7.03,1.52,127.93,37.2,23.7,39.17
0,-76.28,3.42,7.03,1.52,127.93,39.27,27.5,33.23
0,-76.26,3.44,7.03,1.52,127.93,34.23,31.87,34.0
0,-76.21,4.03,7.03,2.04,134.3,35.77,34.7,29.53
0,-75.93,4.66,7.2,1.6,141.21,37.43,29.33,33.2
0,-76.14,4.24,6.8,0.94,135.71,39.43,26.8,33.73
0,-76.14,4.24,6.3,0.94,135.71,39.43,26.8,33.73
0,-76.08,4.56,6.6,1.77,135.71,39.3,26.4,34.3
0,-76.3,3.71,6.1,0.33,136.06,36.8,26.67,36.57
0,-76.35,3.14,6.1,0.24,136.06,40.1,19.83,40.03
0,-76.12,4.43,6.0,1.77,135.71,36.73,26.5,36.77
0,-76.12,4.43,6.1,1.77,135.71,36.73,26.5,36.77
0,-76.35,3.14,6.0,0.24,136.06,40.1,19.83,40.03
0,-76.16,4.32,6.3,1.77,135.71,36.73,24.0,39.3
0,-76.12,4.43,6.1,1.77,135.71,36.73,26.5,36.77
1,-75.86,4.35,7.2,1.6,141.21,38.5,24.8,36.73
0,-76.16,4.32,6.8,1.77,135.71,36.73,24.0,39.3
0,-76.12,4.43,6.1,1.77,135.71,36.73,26.5,36.77
0,-76.08,4.45,6.6,1.77,135.71,36.93,29.6,33.43
0,-76.08,4.56,6.1,1.77,135.71,39.3,26.4,34.3
0,-76.35,3.14,6.1,0.24,136.06,40.1,19.83,40.03
0,-76.35,3.14,6.1,0.24,136.06,40.1,19.83,40.03
0,-76.08,4.45,6.1,1.77,135.71,36.93,29.6,33.43
0,-75.87,5.06,6.1,1.8,138.95,39.33,28.67,32.0
0,-75.87,5.06,6.1,1.8,138.95,39.33,28.67,32.0
0,-75.87,5.06,6.1,1.8,138.95,39.33,28.67,32.0
0,-76.33,3.32,6.1,0.33,136.06,39.03,25.67,35.33
0,-76.3,3.71,6.1,0.33,136.06,36.8,26.67,36.57
0,-76.34,3.1,7.2,0.24,136.06,36.67,25.23,38.13
0,-76.16,4.28,6.1,1.77,135.71,38.3,24.33,37.4
0,-76.16,4.28,6.1,1.77,135.71,38.3,24.33,37.4
0,-76.16,4.28,6.6,1.77,135.71,38.3,24.33,37.4
0,-76.34,3.1,7.2,0.24,136.06,36.67,25.23,38.13
0,-76.34,3.1,6.2,0.24,136.06,36.67,25.23,38.13
0,-76.16,4.32,6.8,1.77,135.71,36.73,24.0,39.3
0,-75.87,5.06,6.6,1.8,138.95,39.33,28.67,32.0
0,-76.16,4.32,6.8,1.77,135.71,36.73,24.0,39.3
0,-76.35,3.14,6.6,0.24,136.06,40.1,19.83,40.03
0,-76.35,3.14,6.1,0.24,136.06,40.1,19.83,40.03
0,-75.87,5.06,6.1,1.8,138.95,39.33,28.67,32.0
0,-76.08,4.45,6.1,1.77,135.71,36.93,29.6,33.43
1,-75.86,4.35,6.2,1.6,141.21,38.5,24.8,36.73
0,-76.21,4.24,6.1,0.94,135.71,40.77,23.4,35.8
0,-76.21,4.24,6.6,0.94,135.71,40.77,23.4,35.8
0,-76.35,3.12,6.8,0.24,136.06,39.93,21.8,38.27
0,-76.35,3.12,6.3,0.24,136.06,39.93,21.8,38.27
0,-76.35,3.12,6.8,0.24,136.06,39.93,21.8,38.27
0,-76.05,4.58,6.1,1.77,141.21,35.93,30.2,33.9
0,-76.35,3.12,6.8,0.24,136.06,39.93,21.8,38.27
0,-76.21,4.24,6.1,0.94,135.71,40.77,23.4,35.8
0,-76.05,4.58,6.1,1.77,141.21,35.93,30.2,33.9
0,-76.05,4.58,6.6,1.77,141.21,35.93,30.2,33.9
0,-76.33,3.32,6.0,0.33,136.06,39.03,25.67,35.33
0,-76.33,3.32,6.1,0.33,136.06,39.03,25.67,35.33
0,-76.1,4.33,6.2,1.77,135.71,34.53,24.87,40.6
0,-76.1,4.33,7.2,1.77,135.71,34.53,24.87,40.6
0,-76.1,4.33,7.2,1.77,135.71,34.53,24.87,40.6
0,-76.33,3.32,6.1,0.33,136.06,39.03,25.67,35.33
0,-76.05,4.58,6.1,1.77,141.21,35.93,30.2,33.9
0,-76.21,4.24,6.1,0.94,135.71,40.77,23.4,35.8
0,-76.21,4.24,6.1,0.94,135.71,40.77,23.4,35.8
0,-76.21,4.24,6.0,0.94,135.71,40.77,23.4,35.8
0,-76.08,4.45,6.1,1.77,135.71,36.93,29.6,33.43
0,-76.08,4.45,6.1,1.77,135.71,36.93,29.6,33.43
0,-76.3,3.71,6.0,0.33,136.06,36.8,26.67,36.57
0,-76.08,4.45,6.0,1.77,135.71,36.93,29.6,33.43
0,-76.35,3.11,7.2,0.24,136.06,36.6,25.27,38.07
0,-76.35,3.11,7.2,0.24,136.06,36.6,25.27,38.07
0,-76.12,4.43,6.1,1.77,135.71,36.73,26.5,36.77
0,-76.13,4.43,6.8,1.77,135.71,40.0,24.37,35.63
0,-76.13,4.43,6.3,1.77,135.71,40.0,24.37,35.63
0,-76.13,4.43,6.8,1.77,135.71,40.0,24.37,35.63
0,-76.13,4.43,6.8,1.77,135.71,40.0,24.37,35.63
0,-76.35,3.11,6.2,0.24,136.06,36.6,25.27,38.07
0,-76.12,4.43,6.6,1.77,135.71,36.73,26.5,36.77
0,-76.14,4.24,6.8,0.94,135.71,39.43,26.8,33.73
0,-76.14,4.24,6.8,0.94,135.71,39.43,26.8,33.73
0,-76.05,4.58,6.0,1.77,141.21,35.93,30.2,33.9
0,-76.05,4.58,6.1,1.77,141.21,35.93,30.2,33.9
1,-75.86,4.35,7.2,1.6,141.21,38.5,24.8,36.73
0,-76.3,3.71,6.1,0.33,136.06,36.8,26.67,36.57
0,-76.11,4.29,7.2,1.77,135.71,35.67,24.73,39.53
0,-76.3,3.71,6.1,0.33,136.06,36.8,26.67,36.57
0,-76.2,4.25,6.6,1.77,135.71,36.37,25.37,38.23
0,-76.05,4.56,6.1,1.77,141.21,38.33,27.3,34.37
1,-75.87,4.33,6.8,1.6,141.21,37.7,25.73,36.6
1,-75.87,4.33,6.3,1.6,141.21,37.7,25.73,36.6
0,-76.44,3.33,6.2,0.33,136.06,39.37,19.37,41.3
0,-76.44,3.33,7.2,0.33,136.06,39.37,19.37,41.3
0,-76.05,4.56,6.1,1.77,141.21,38.33,27.3,34.37
0,-76.05,4.56,6.1,1.77,141.21,38.33,27.3,34.37
0,-76.05,4.56,6.1,1.77,141.21,38.33,27.3,34.37
0,-76.03,4.61,6.3,1.77,141.21,39.9,25.93,34.17
0,-76.33,3.32,6.6,0.33,136.06,39.03,25.67,35.33
0,-76.31,3.28,6.0,0.33,136.06,38.43,25.57,36.0
